id,name,serviceGroup,department,description,tags,unit,price,minPrice,officialWarranty,clinicWarranty,origin,avgTreatmentMinutes,avgTreatmentSessions,archivedAt,createdAt,updatedAt,createdById,updatedById
89b13572-42ef-491c-b5c6-5230e786b8fe,Hàn khe thưa,Hàn răng,Tổng quát,,,Răng,300000,,,,,,,,2018-10-21 17:02:20+00,2018-10-21 17:02:20+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
0ddc4102-7181-4eef-9404-b9913df42d7a,Đắp khểnh,Hàn răng,Tổng quát,,,Răng,300000,,,,,,,,2018-10-20 17:01:37+00,2018-10-20 17:01:37+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
2d2744f4-8471-4cc8-8f18-e615dea1ccff,Gắn đá (chưa bao gồm đá),Hàn răng,Tổng quát,,,Răng,300000,,,,,,,,2018-10-20 17:03:32+00,2018-10-20 17:03:32+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
db4e3945-2921-4f09-a010-5fc4bde1284c,Điều trị tuỷ răng cửa sữa,Điều trị tuỷ răng sữa,Nội nha,,,Răng,300000,,,,,,,,2018-10-20 17:03:21+00,2025-08-26 01:57:46.349+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
ad30baf7-2646-4288-9dcd-778429c41fe8,Điều trị tuỷ lại răng cửa sữa,Điều trị tuỷ răng sữa,Nội nha,,,Răng,300000,,,,,,,,2018-10-20 17:03:22+00,2025-08-26 01:58:09.048+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
486ed077-dd5c-4a00-80ed-7fa7c3287b51,Điều trị tuỷ răng hàm sữa,Điều trị tuỷ răng sữa,Nội nha,,,Răng,450000,,,,,,,,2018-10-20 17:03:23+00,2025-08-26 01:59:10.54+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
42877e77-bdc7-4cd8-9fd8-85324ba52281,Điều trị tuỷ lại răng hàm sữa,Điều trị tuỷ răng sữa,Nội nha,,,Răng,450009,,,,,,,,2018-10-20 17:03:18+00,2025-08-26 01:59:51.857+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
65246c35-3d63-4001-b064-3a88ea7177bf,"Điều trị tuỷ răng cửa, nanh file tay",Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,600000,,,,,,,,2018-10-21 17:03:23+00,2025-08-26 02:19:05.424+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
2bab1d7f-579b-4aff-bd6f-17b592a9f95a,Điều trị tuỷ răng hàm nhỏ file tay,Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,800000,,,,,,,,2018-10-23 17:03:23+00,2025-08-26 02:19:10.913+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
